TOT_POP,% Asian-alone,GQ_ESTIMATES_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code,0-19 %,20-49 %,50+ %,TOT_POP_log,% Asian-alone_log,GQ_ESTIMATES_2018_log,R_INTERNATIONAL_MIG_2018_log,Civilian_labor_force_2018_log,Employed_2018_log,Total nurse practitioners (2019)_log,Total physician assistants (2019)_log,Total Hospitals (2019)_log,Internal Medicine Primary Care (2019)_log,Family Medicine/General Practice Primary Care (2019)_log,Total Specialist Physicians (2019)_log,Heart disease_prevalence
160137,0.750607293,3698,9.4,2.6,0.5,6.3,30.3,31.0,10.9,12.0,11.0,59975,81269,78554,59975,108.6,75.97540066,58.94123345,8.441711185,51.85622585,88.4872226,173.6580587,38.0,29.1,6.3,9.2,2.8,4,25.579347683545965,38.21040733871622,36.210244977737815,11.9838162006207,1.7493054654061766,8.216898580913613,1.7047480922384253,11.305581441189922,11.271605213823095,4.394145412992049,4.157964434186951,2.5983626473029604,4.040525727832731,4.537824770271774,5.18547369232414,6.5
805,0.372670808,0,4.9,7.4,0.0,4.8,34.3,17.3,14.0,19.6,19.8,53369,562,548,53369,89.4,0.436033252,0.342985008,0.038804873,0.37302749,0.525743443,1.145369643,46.6,36.4,9.0,13.3,3.9,6,21.242236024844722,27.70186335403727,51.05590062111801,6.697034247666484,1.6813251420491504,1.6094379124341003,1.6094379124341003,6.340359303727752,6.315358001522335,1.6930496132679809,1.6757844870574174,1.6171689255908834,1.6813915280559486,1.7094177981704606,1.8156988946669474,9.9
70675,1.673859215,389,8.8,2.1,0.9,7.8,26.8,35.9,6.1,6.8,6.1,93462,36319,35375,93462,128.7,37.15594672,17.44122376,0.796554463,35.24753498,30.94116242,97.51154216,38.6,29.7,6.5,9.9,2.7,2,25.65688008489565,35.3052706048815,39.03784931022285,11.165917926433632,1.8981982855606898,5.976350909297934,1.7749523509116738,10.50023395880972,10.473901967713775,3.7413757591938634,3.110899613926888,1.757263682926497,3.6950487592562404,3.581883224182406,4.629975398677858,6.3
35774,0.433275563,294,14.2,-4.1,-0.2,21.4,45.4,10.8,22.5,35.7,35.7,36192,14847,14151,36192,69.1,30.37350787,6.29875111,0.607681525,18.95437939,13.13648931,53.386143,56.1,39.5,14.6,17.0,4.1,5,22.133392966959246,34.030301336165934,43.836305696874824,10.485116408097518,1.6925421865113934,5.700443573390687,1.5686159179138452,9.60588981529697,9.557893841465354,3.565963174720429,2.4246921983714347,1.724137358711721,3.176151162673248,2.8979258928809735,4.067078584282186,11.6
34475,1.142857143,445,10.0,-1.7,0.0,9.2,23.5,29.9,8.7,12.8,12.1,74686,16736,16165,74686,127.4,15.77998189,10.90342674,0.475201947,16.31417442,11.17871614,41.90953446,40.6,29.9,7.3,12.4,3.0,3,23.70123277737491,34.81073241479333,41.48803480783176,10.44813472477763,1.815289966661505,6.1092475827643655,1.6094379124341003,9.725616079415785,9.690912952571152,3.0339901141596335,2.7665346042444603,1.7002291603191224,3.059372317118945,2.7836965599035888,3.8482209481811247,6.9
70422,2.04339553,605,8.9,3.9,0.8,16.3,32.3,21.0,8.7,13.2,12.6,68984,36248,35165,68984,117.7,32.23373125,22.27240371,0.97069388,33.32492506,22.83473671,85.60850575,39.4,28.2,8.1,11.1,2.9,5,27.528329215302037,39.39251938314731,33.079151401550654,11.162331991347363,1.9520903734935118,6.413458957167357,1.7578579175523736,10.498277415479205,10.467948725468029,3.6172151044582646,3.3058753378207864,1.7868631484562778,3.6461004693743613,3.326284762636181,4.506548091092584,6.9
62249,0.586354801,554,13.8,-4.8,0.2,12.9,29.0,27.2,19.6,32.8,30.6,46058,25520,24362,46058,87.8,25.96908555,12.84373915,0.844821736,26.16498624,28.66272007,78.99695425,53.9,38.5,9.6,16.6,4.2,5,20.37462449195971,29.536217449276293,50.089158058764,11.038978069290673,1.72032698161763,6.326149473155099,1.6486586255873816,10.147413643032866,10.100985036866753,3.4329894665876064,2.881652698800057,1.765556095913176,3.4392952287397796,3.5163909956581225,4.430780539257372,9.8
29503,0.501643901,670,12.9,-2.0,2.0,14.6,44.0,15.1,14.5,22.7,21.2,48024,15194,14637,48024,91.7,25.04918663,5.19461212,0.501158049,15.63177322,10.83372964,44.02782404,50.6,35.2,11.5,14.5,3.6,6,23.628105616377997,34.40328102226892,41.968613361353086,10.292416692004194,1.7050469386702907,6.51471269087253,1.9459101490553132,9.628984915196462,9.591649390206587,3.4028355933935948,2.3218593572016175,1.7049586244386026,3.0268322768551994,2.76214245195398,3.8923879745029097,9.6
6488,0.431565968,117,14.1,-3.4,0.2,9.6,37.0,18.1,10.8,13.8,12.4,57548,3465,3349,57548,96.4,3.514265514,2.764331342,0.312752816,3.006462555,4.237296218,9.231252475,48.4,38.7,8.3,11.8,3.6,6,24.38347718865598,30.07090012330456,45.54562268803946,8.778479952508487,1.6922274842657636,4.804021044733257,1.6486586255873816,8.151909872940905,8.117908942383155,2.141743052496398,2.0495403411091733,1.6701101220123373,2.0802490349443783,2.2232492257332885,2.655440424742941,9.1
19386,0.340451873,304,12.5,-1.5,0.5,18.4,33.9,20.1,21.9,35.6,32.6,38121,7826,7356,38121,85.2,13.54052898,0.694552541,0.642623379,7.65306024,7.120786331,21.94656206,57.4,45.4,10.1,17.9,4.2,6,24.899411946765706,36.57794284535232,38.52264520788198,9.872564319882619,1.6753102698039835,5.733341276897746,1.7047480922384253,8.965845494750937,8.903951072058707,2.9199590915537694,1.739510023311883,1.7303490954873324,2.537899102122056,2.49492185733201,3.2938557218706612,9.4
